ano,id_municipio,municipio,desmatamento,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss,emprego,remuneracao_media,co2e
2021,1100015,Alta Floresta D'Oeste,2395.2,734469000,49596000,684873000,311469000,27847000,172435000,173122000,4078,2056.533857282976,7566875.327709408
2021,1100023,Ariquemes,3283.5,3209761000,420195000,2789566000,293001000,406329000,1307930000,782306000,28263,1928.233391713545,4731887.186793069
2021,1100031,Cabixi,999.5,238412000,11193000,227219000,136659000,8115000,35865000,46579000,870,1971.059379310344,1241700.52424336
2021,1100049,Cacoal,2531.1,2792383000,384607000,2407776000,341315000,236722000,1200630000,629109000,28796,1838.107100291701,2560147.88764399
2021,1100056,Cerejeiras,818.2,743037000,131904000,611133000,151690000,27412000,308666000,123365000,3699,1901.983079210598,500240.1570565901
2021,1100064,Colorado do Oeste,1196.8,424807000,33011000,391796000,123524000,28794000,124598000,114881000,3406,1813.074926600114,1588625.26738651
2021,1100072,Corumbiara,2171.9,396728000,16070000,380657000,260728000,14003000,45391000,60535000,2152,2120.33505111524,2417084.584913698
2021,1100080,Costa Marques,1919.9,316671000,11756000,304914000,116783000,6682000,53392000,128057000,1283,1754.854279033514,4755666.333812379
2021,1100098,Espigão D'Oeste,2119.6,773381000,77583000,695798000,202434000,54689000,221164000,217511000,8259,1746.488807361664,2688980.819132701
2021,1100106,Guajará-Mirim,1587.8,1054179000,180691000,873488000,77442000,40473000,436338000,319235000,5217,2078.479246693501,-1590534.033011231
2021,1100114,Jaru,2591.3,1765089000,238102000,1526987000,280711000,177922000,688494000,379860000,15834,1949.731081217629,2014755.635329661
2021,1100122,Ji-Paraná,2596.7,4231113000,719632000,3511482000,206345000,502877000,1926121000,876139000,44797,1860.647305399902,405284.2831155902
2021,1100130,Machadinho D'Oeste,3593,890320000,52916000,837405000,352193000,34664000,174795000,275753000,5301,1778.762986229013,8094439.371444786
2021,1100148,Nova Brasilândia D'Oeste,1310.6,548734000,38742000,509993000,228451000,24608000,114351000,142582000,2513,1995.605865499403,1505305.79097315
2021,1100155,Ouro Preto do Oeste,1832.1,985868000,96926000,888942000,216209000,71160000,352557000,249016000,9070,1842.703925027563,1726734.55750641
2021,1100189,Pimenta Bueno,2525,1642516000,305833000,1336683000,297492000,207603000,550809000,280779000,15507,1875.932732959309,7211551.845635945
2021,1100205,Porto Velho,11512.8,20059522000,2851398000,17208124000,1041285000,4627968000,7555512000,3983359000,160324,2942.202676767087,83319673.17194572
2021,1100254,Presidente Médici,1598.9,559990000,51482000,508508000,183438000,50521000,140111000,134437000,3798,1696.491142706689,1451103.43689574
2021,1100262,Rio Crespo,1129,184430000,6198000,178233000,115354000,7565000,18756000,36557000,1222,1876.790736497548,1685054.350022939
2021,1100288,Rolim de Moura,1323.9,1565194000,181000000,1384194000,194673000,171634000,606264000,411623000,17936,1721.439586864402,1857688.98014664
2021,1100296,Santa Luzia D'Oeste,980.3,213556000,8703000,204853000,106980000,13056000,33184000,51633000,1235,1823.101983805667,842921.3664904903
2021,1100304,Vilhena,2085.6,4215046000,681826000,3533220000,674880000,368863000,1712225000,777252000,36564,1989.455163275359,1760421.455303069
2021,1100320,São Miguel do Guaporé,1845.2,905335000,65762000,839574000,381639000,82314000,199587000,176034000,4737,2024.018629934556,1284735.741001019
2021,1100338,Nova Mamoré,4178,742687000,32971000,709716000,344263000,21482000,129299000,214672000,2763,1813.128461816868,22862095.32749853
2021,1100346,Alvorada D'Oeste,1376.4,352628000,15991000,336637000,147689000,11552000,72543000,104853000,2000,1693.898685,975279.36449533
2021,1100379,Alto Alegre dos Parecis,1356.8,483672000,20513000,463159000,277664000,18507000,63694000,103294000,1367,2113.152128749084,3912277.938160428
2021,1100403,Alto Paraíso,2029.3,510361000,32335000,478027000,185477000,24048000,119552000,148951000,2300,1925.86935652174,6612576.091480959
2021,1100452,Buritis,2698,966552000,73301000,893251000,336953000,35153000,248229000,272916000,5621,1938.720042697033,7948732.350052348
2021,1100502,Novo Horizonte do Oeste,744,231502000,11121000,220381000,106736000,12107000,40100000,61438000,1094,1906.786462522853,1064161.681438021
2021,1100601,Cacaulândia,1532.7,275338000,7656000,267682000,194610000,3288000,22240000,47544000,806,2062.914193548388,3133395.753570699
2021,1100700,Campo Novo de Rondônia,2089.3,369377000,10992000,358384000,204767000,16149000,32202000,105266000,1378,2165.760544267052,6082154.241563579
2021,1100809,Candeias do Jamari,2656.3,655606000,37086000,618520000,141452000,133672000,138514000,204882000,3559,2078.608465861194,26376967.93605433
2021,1100908,Castanheiras,728.4,99627000,3220000,96407000,56909000,2351000,8867000,28281000,612,1827.053562091502,854915.74629177
2021,1100924,Chupinguaia,2721,468793000,26740000,442053000,224569000,44525000,70952000,102007000,4527,1983.278356527505,3453708.0930056
2021,1100940,Cujubim,2263.2,487480000,26537000,460943000,153670000,43842000,84313000,179118000,2375,1968.956450526317,15071392.38556916
2021,1101005,Governador Jorge Teixeira,1393.4,239330000,7567000,231763000,146346000,5056000,22483000,57878000,846,2115.659609929076,4024382.875897642
2021,1101104,Itapuã do Oeste,1011.4,210031000,10894000,199137000,65085000,14646000,39846000,79560000,1836,2043.416116557737,1612080.386219871
2021,1101203,Ministro Andreazza,715,297878000,21615000,276263000,132934000,14078000,59932000,69320000,1359,1771.014400294339,877115.5780477403
2021,1101302,Mirante da Serra,676.8,262640000,16870000,245771000,85084000,14260000,71352000,75075000,1825,1739.263863013697,1386113.878754531
2021,1101401,Monte Negro,1510.5,389891000,20921000,368969000,153360000,23249000,76057000,116303000,2056,1772.341964980546,4357935.791400406
2021,1101435,Nova União,752.7,157321000,5823000,151498000,82596000,3240000,16675000,48987000,619,1843.334361873989,1486990.71165371
2021,1101450,Parecis,1193.7,155434000,5088000,150346000,85286000,3445000,13908000,47707000,943,2165.016511134677,1138951.632798549
2021,1101468,Pimenteiras do Oeste,1307.7,246209000,8203000,238005000,178073000,8909000,24664000,26359000,1207,1891.772999171499,1265419.389744739
2021,1101476,Primavera de Rondônia,423.4,107030000,3634000,103396000,62242000,2158000,10663000,28333000,487,1845.958911704313,407177.3530713603
2021,1101484,São Felipe D'Oeste,483.2,130676000,5630000,125046000,62311000,3164000,18618000,40952000,810,1944.952024691356,361791.7816620199
2021,1101492,São Francisco do Guaporé,2595.4,488043000,29161000,458882000,203490000,17248000,95713000,142430000,2409,1784.119775840597,3630331.50715091
2021,1101500,Seringueiras,1412.2,332987000,23425000,309562000,147309000,11109000,61163000,89980000,1751,1977.209680182756,4355319.462362331
2021,1101559,Teixeirópolis,442.7,121301000,5024000,116277000,62959000,3836000,15259000,34222000,656,1795.850960365855,498003.7583030302
2021,1101609,Theobroma,1767,257426000,8535000,248891000,140069000,5751000,23488000,79582000,1197,1968.542898913951,1159934.2473121
2021,1101708,Urupá,685,273501000,13577000,259925000,110938000,9241000,54174000,85571000,2042,1748.608413320274,726549.3757590598
2021,1101757,Vale do Anari,1297.8,220588000,8710000,211878000,93455000,6375000,27947000,84100000,1158,1999.392478411052,937964.97702792
2021,1101807,Vale do Paraíso,879.9,185648000,6737000,178912000,100039000,4130000,20871000,53871000,1033,1867.233639883834,648446.0533022705
2021,1200013,Acrelândia,1234.5,398725000,21128000,377597000,157858000,13439000,91389000,114911000,1380,1861.308681159421,3008457.167330297
2021,1200054,Assis Brasil,340.2,133916000,2575000,131342000,44810000,3944000,20601000,61986000,798,1893.0721679198,875919.8116197297
2021,1200104,Brasiléia,1558.8,685636000,80025000,605611000,185724000,45440000,171335000,203112000,3636,1714.085695819585,6896703.845715335
2021,1200138,Bujari,1302.2,300830000,4780000,296050000,168856000,8391000,36998000,81806000,2656,1617.010116716869,5644352.495454361
2021,1200179,Capixaba,978.2,512353000,9387000,502966000,342298000,13142000,52997000,94528000,956,1959.196234309626,4014212.237952251
2021,1200203,Cruzeiro do Sul,1137,2058630000,194006000,1864624000,100357000,167725000,900140000,696402000,14498,1828.960053800524,5739765.261402816
2021,1200252,Epitaciolândia,898.6,644542000,70966000,573576000,160895000,22540000,246925000,143215000,2438,1725.285139458569,1933649.56945265
2021,1200302,Feijó,1896.1,567040000,17689000,549351000,172858000,24431000,103190000,248872000,2631,1701.673629798556,18042570.40143266
2021,1200328,Jordão,197.8,113975000,1824000,112151000,21977000,2460000,14031000,73684000,660,1682.929969696971,947060.8972560602
2021,1200336,Mâncio Lima,437.6,269205000,5857000,263348000,53381000,13659000,48626000,147682000,1381,1739.988703837799,1053545.49865513
2021,1200344,Manoel Urbano,558.7,184904000,9125000,175779000,55704000,11432000,33663000,74979000,751,2088.228655126497,6567786.287808766
2021,1200351,Marechal Thaumaturgo,303.1,256865000,3441000,253424000,56419000,5964000,29458000,161583000,1013,2768.254027640672,311564.7196135095
2021,1200385,Plácido de Castro,1469.4,601471000,26769000,574701000,309366000,17444000,98405000,149486000,1312,1952.958300304878,1519367.23341852
2021,1200393,Porto Walter,247,160535000,2823000,157712000,25573000,4314000,22836000,104988000,1331,1692.428557475582,671545.5595630505
2021,1200401,Rio Branco,2941.8,10955675000,1507114000,9448561000,464933000,880534000,5153657000,2949436000,135835,3148.669980122911,15617935.8895738
2021,1200427,Rodrigues Alves,508.2,255649000,3070000,252579000,55116000,7342000,31896000,158224000,1054,2264.984032258064,2060425.97475704
2021,1200435,Santa Rosa do Purus,112.4,108545000,1532000,107013000,25745000,2260000,14094000,64913000,28,1914.7775,-711941.0981586801
2021,1200450,Senador Guiomard,1726.2,779672000,31621000,748050000,391220000,30582000,150418000,175830000,3123,1848.045411463338,2504237.84092702
2021,1200500,Sena Madureira,2204.9,748094000,25950000,722144000,209649000,36344000,153428000,322724000,4901,1707.681799632729,14504265.51674503
2021,1200609,Tarauacá,1775.6,711884000,30960000,680924000,176339000,23416000,158432000,322737000,2952,2038.892716802169,11446769.03545429
2021,1200708,Xapuri,1548.9,454981000,20773000,434208000,199221000,23433000,69331000,142223000,1435,1866.563505226483,8032048.27551959
2021,1200807,Porto Acre,1374.4,471315000,7299000,464016000,259571000,13578000,50907000,139960000,1802,1908.81973917869,4741604.16270813
2021,1300029,Alvarães,361.5,217333000,4045000,213287000,66407000,10232000,32276000,104372000,1418,1899.303787023977,357966.8156860801
2021,1300060,Amaturá,113.3,118872000,2837000,116035000,13548000,5177000,19564000,77746000,1116,1934.3841218638,-653688.5960397404
